step,run_0,run_1
907264,-2.5564825017005206,-2.6228985615074634
909312,-2.5576950028538703,-2.622480572760105
911360,-2.5586479108780624,-2.6228519584983587
913408,-2.5597807724028825,-2.621343056112528
915456,-2.5599282301962374,-2.621943886950612
917504,-2.559270147234201,-2.621063359081745
919552,-2.5593783728778363,-2.619801178947091
921600,-2.560692720115185,-2.620241489633918
923648,-2.5604286950081585,-2.6199920047074556
925696,-2.5594194639474157,-2.6197667684406043
927744,-2.5612072750926016,-2.6178522154688837
929792,-2.562837228924036,-2.616305234283209
931840,-2.5626988783478737,-2.616812236979604
933888,-2.5607734683901078,-2.613762044534087
935936,-2.5602845467627047,-2.6127181351184845
937984,-2.561264487355948,-2.6131620522588492
940032,-2.5614543575793505,-2.6118971690535546
942080,-2.562721496447921,-2.6105617843568325
944128,-2.5609159033745525,-2.6112134091556074
946176,-2.561164123937488,-2.6124422438442707
948224,-2.5616152990609407,-2.6108342755585907
950272,-2.5603332996368406,-2.6106289729475973
952320,-2.5617432691156865,-2.610947858542204
954368,-2.560742469504476,-2.6131161700934173
956416,-2.560620287433266,-2.613556009158492
958464,-2.560633857175708,-2.6136179767549037
960512,-2.559969549998641,-2.6147038374096154
962560,-2.5628228299319744,-2.614354718476534
964608,-2.56340323202312,-2.615668141469359
966656,-2.5619639348238707,-2.6155192449688913
968704,-2.5616576045751573,-2.6153254278004168
970752,-2.5621184103190897,-2.6136857595294716
972800,-2.562029556557536,-2.6129365887492897
974848,-2.5622471433132885,-2.6113078705966473
976896,-2.5623121041804557,-2.6103747390210628
978944,-2.5629482667893173,-2.610238478332758
980992,-2.564254258945584,-2.609512570872903
983040,-2.563213826715946,-2.6088944613933562
985088,-2.5641435235738754,-2.6097365356981754
987136,-2.563611761108041,-2.6088355220854282
989184,-2.563382472097873,-2.607779012620449
991232,-2.563069492951036,-2.609334347397089
993280,-2.562545058876276,-2.6127170745283363
995328,-2.562848728895188,-2.6135740373283625
997376,-2.5641948632895946,-2.6125565264374018
999424,-2.5640649195760488,-2.6108282428234815
